ID_Chamado,ID_Cliente,Hora_Abertura_Chamado,Hora_Inicio_Atendimento,Hora_Finalizacao_Atendimento
50,10122854056,31/03/2025 às 10:48:20,31/03/2025 às 10:56:44,31/03/2025 às 11:24:21
51,10134395078,01/05/2025 às 20:08:05,01/05/2025 às 20:08:05,01/05/2025 às 20:15:22
52,10135357340,26/04/2025 às 11:12:00,26/04/2025 às 11:12:00,26/04/2025 às 11:30:55
53,10138997702,14/06/2025 às 04:01:40,14/06/2025 às 04:01:40,14/06/2025 às 04:12:54
54,10138997702,11/05/2025 às 14:26:32,11/05/2025 às 14:35:43,11/05/2025 às 14:52:37
55,10138997702,18/06/2025 às 05:00:22,18/06/2025 às 05:05:22,18/06/2025 às 05:46:46
56,10139102305,21/06/2025 às 14:48:30,21/06/2025 às 14:48:30,21/06/2025 às 14:57:12
57,10141774806,09/06/2025 às 13:17:26,09/06/2025 às 13:17:26,09/06/2025 às 13:27:07
58,10159981064,30/04/2025 às 19:15:52,30/04/2025 às 19:15:52,30/04/2025 às 19:16:47
59,10161354878,30/01/2025 às 21:20:39,30/01/2025 às 21:20:39,30/01/2025 às 21:25:59
60,10161354878,01/02/2025 às 22:51:31,01/02/2025 às 22:53:27,01/02/2025 às 23:13:12
61,10161870861,20/03/2025 às 17:14:45,20/03/2025 às 17:14:45,20/03/2025 às 17:28:13
62,10173660878,21/03/2025 às 10:26:27,21/03/2025 às 10:26:27,21/03/2025 às 10:32:14
63,10173660878,15/06/2025 às 15:02:21,15/06/2025 às 15:07:25,15/06/2025 às 15:18:31
64,10173660878,30/01/2025 às 06:50:45,30/01/2025 às 06:55:20,30/01/2025 às 07:12:50
65,10173660878,25/06/2025 às 04:15:29,25/06/2025 às 04:17:49,25/06/2025 às 04:29:43
66,10173660878,12/04/2025 às 03:01:29,12/04/2025 às 03:07:01,12/04/2025 às 03:17:19
67,10173660878,17/04/2025 às 17:51:12,17/04/2025 às 18:01:11,17/04/2025 às 18:22:51
68,10173660878,19/05/2025 às 17:08:17,19/05/2025 às 17:18:13,19/05/2025 às 17:34:07
69,10173660878,20/01/2025 às 08:59:44,20/01/2025 às 09:17:36,20/01/2025 às 09:43:18
70,10190630255,19/04/2025 às 02:46:37,19/04/2025 às 02:46:37,19/04/2025 às 02:51:57
71,10197762110,06/04/2025 às 23:03:11,06/04/2025 às 23:03:11,06/04/2025 às 23:06:20
72,10197988526,08/05/2025 às 03:15:29,08/05/2025 às 03:15:29,08/05/2025 às 03:21:00
73,10199326242,13/03/2025 às 06:34:39,13/03/2025 às 06:34:39,13/03/2025 às 06:47:42
74,10200949628,26/04/2025 às 02:05:50,26/04/2025 às 02:05:50,26/04/2025 às 02:15:32
75,10201200659,16/01/2025 às 14:18:07,16/01/2025 às 14:18:07,16/01/2025 às 14:20:53
76,10208753075,19/03/2025 às 18:55:56,19/03/2025 às 18:55:56,19/03/2025 às 18:57:23
77,10217395568,15/05/2025 às 13:02:32,15/05/2025 às 13:02:32,15/05/2025 às 13:14:35
78,10217395568,13/03/2025 às 23:18:28,13/03/2025 às 23:21:41,13/03/2025 às 23:43:08
79,10217395568,28/02/2025 às 16:33:37,28/02/2025 às 16:40:59,28/02/2025 às 17:18:42
80,10222461608,16/05/2025 às 12:29:00,16/05/2025 às 12:29:00,16/05/2025 às 12:29:51
81,10230231048,15/03/2025 às 00:47:07,15/03/2025 às 00:47:07,15/03/2025 às 00:48:51
82,10237602015,20/05/2025 às 12:56:22,20/05/2025 às 12:56:22,20/05/2025 às 13:07:42
83,10237602015,25/04/2025 às 04:36:50,25/04/2025 às 04:41:01,25/04/2025 às 05:16:28
84,10237602015,13/01/2025 às 01:25:56,13/01/2025 às 01:38:32,13/01/2025 às 02:55:04
85,10237602015,20/05/2025 às 04:49:33,20/05/2025 às 04:54:35,20/05/2025 às 05:31:35
86,10237602015,22/02/2025 às 09:29:22,22/02/2025 às 09:48:09,22/02/2025 às 10:27:21
87,10237602015,30/01/2025 às 07:48:50,30/01/2025 às 07:58:28,30/01/2025 às 08:36:08
88,10241896738,01/01/2025 às 09:52:49,01/01/2025 às 09:52:49,01/01/2025 às 09:53:53
89,10242695134,23/06/2025 às 22:30:25,23/06/2025 às 22:30:25,23/06/2025 às 22:39:46
90,10245460381,07/04/2025 às 03:39:33,07/04/2025 às 03:39:33,07/04/2025 às 03:40:35
91,10245460381,25/05/2025 às 07:50:41,25/05/2025 às 07:57:35,25/05/2025 às 08:13:35
92,10245460381,13/01/2025 às 14:49:07,13/01/2025 às 14:58:58,13/01/2025 às 15:09:30
93,10245460381,29/03/2025 às 21:32:20,29/03/2025 às 21:41:04,29/03/2025 às 21:56:38
94,10246168688,29/05/2025 às 17:28:24,29/05/2025 às 17:28:24,29/05/2025 às 17:42:42
95,10246168688,26/03/2025 às 05:32:00,26/03/2025 às 05:41:51,26/03/2025 às 06:00:42
96,10246168688,11/05/2025 às 10:18:08,11/05/2025 às 10:30:57,11/05/2025 às 11:16:15
97,10251175087,28/03/2025 às 06:42:17,28/03/2025 às 06:42:17,28/03/2025 às 06:47:46
98,10256074864,28/02/2025 às 17:31:46,28/02/2025 às 17:31:46,28/02/2025 às 17:44:31
99,10263778274,09/01/2025 às 00:35:44,09/01/2025 às 00:35:44,09/01/2025 às 00:39:24
100,10269411022,11/04/2025 às 23:34:02,11/04/2025 às 23:34:02,11/04/2025 às 23:40:32
101,10272300804,28/02/2025 às 20:25:52,28/02/2025 às 20:25:52,28/02/2025 às 20:34:45
102,10276693696,11/04/2025 às 02:39:09,11/04/2025 às 02:39:09,11/04/2025 às 02:44:33
103,10283144074,16/05/2025 às 04:26:43,16/05/2025 às 04:26:43,16/05/2025 às 04:35:33
104,10286568818,28/02/2025 às 11:57:56,28/02/2025 às 11:57:56,28/02/2025 às 11:59:27
105,10296408886,18/03/2025 às 00:12:00,18/03/2025 às 00:12:00,18/03/2025 às 00:14:43
106,10296408886,03/05/2025 às 02:10:29,03/05/2025 às 02:17:40,03/05/2025 às 03:06:22
107,10296408886,29/03/2025 às 10:33:43,29/03/2025 às 10:47:43,29/03/2025 às 11:28:11
108,10296408886,04/02/2025 às 08:01:41,04/02/2025 às 08:10:23,04/02/2025 às 09:10:31
109,10296408886,27/02/2025 às 06:06:39,27/02/2025 às 06:18:56,27/02/2025 às 06:48:28
110,10298341599,15/03/2025 às 05:17:17,15/03/2025 às 05:17:17,15/03/2025 às 05:23:51
111,10298341599,28/02/2025 às 03:52:07,28/02/2025 às 03:58:20,28/02/2025 às 04:38:39
112,10302771019,24/06/2025 às 18:37:23,24/06/2025 às 18:37:23,24/06/2025 às 18:42:32
113,10312724526,19/02/2025 às 12:34:25,19/02/2025 às 12:34:25,19/02/2025 às 12:35:43
114,10319394408,17/01/2025 às 18:22:52,17/01/2025 às 18:22:52,17/01/2025 às 18:26:46
115,10320757642,14/04/2025 às 01:06:20,14/04/2025 às 01:06:20,14/04/2025 às 01:10:50
116,10342797913,02/05/2025 às 07:37:01,02/05/2025 às 07:37:01,02/05/2025 às 07:44:49
117,10342797913,15/05/2025 às 05:52:31,15/05/2025 às 05:55:12,15/05/2025 às 06:07:55
118,10342797913,13/01/2025 às 03:20:22,13/01/2025 às 03:22:53,13/01/2025 às 03:38:35
119,10342797913,15/01/2025 às 23:21:57,15/01/2025 às 23:22:24,15/01/2025 às 23:39:08
120,10342797913,21/01/2025 às 06:37:10,21/01/2025 às 06:38:03,21/01/2025 às 06:55:05
121,10342797913,17/05/2025 às 21:32:42,17/05/2025 às 21:35:17,17/05/2025 às 21:50:13
122,10349268807,29/06/2025 às 18:51:57,29/06/2025 às 18:51:57,29/06/2025 às 18:57:17
123,10350966116,13/01/2025 às 19:04:10,13/01/2025 às 19:04:10,13/01/2025 às 19:22:17
124,10353351612,29/06/2025 às 08:58:51,29/06/2025 às 08:58:51,29/06/2025 às 09:05:06
125,10364987760,23/06/2025 às 11:52:08,23/06/2025 às 11:52:08,23/06/2025 às 11:56:06
126,10377295889,09/03/2025 às 06:29:38,09/03/2025 às 06:29:38,09/03/2025 às 06:30:10
127,10380516263,29/05/2025 às 14:34:28,29/05/2025 às 14:34:28,29/05/2025 às 14:48:31
128,10381593210,06/03/2025 às 04:55:52,06/03/2025 às 04:55:52,06/03/2025 às 05:12:30
129,10381593210,08/01/2025 às 02:52:58,08/01/2025 às 02:57:55,08/01/2025 às 03:40:13
130,10384976186,10/06/2025 às 23:01:10,10/06/2025 às 23:01:10,10/06/2025 às 23:05:29
131,10388226537,07/06/2025 às 16:55:41,07/06/2025 às 16:55:41,07/06/2025 às 17:01:26
132,10389677187,18/01/2025 às 14:32:52,18/01/2025 às 14:32:52,18/01/2025 às 14:38:11
133,10389677187,06/06/2025 às 00:31:26,06/06/2025 às 00:36:22,06/06/2025 às 00:54:11
134,10389677187,19/03/2025 às 18:02:45,19/03/2025 às 18:08:22,19/03/2025 às 18:28:28
135,10393685180,09/04/2025 às 15:33:03,09/04/2025 às 15:33:03,09/04/2025 às 15:34:12
136,10394267007,26/03/2025 às 20:27:31,26/03/2025 às 20:27:31,26/03/2025 às 20:29:25
137,10395164501,02/03/2025 às 21:47:25,02/03/2025 às 21:47:25,02/03/2025 às 21:53:39
138,10395164501,27/02/2025 às 00:07:39,27/02/2025 às 00:10:41,27/02/2025 às 00:30:55
139,10395164501,17/02/2025 às 10:00:15,17/02/2025 às 10:01:05,17/02/2025 às 10:17:56
140,10395164501,11/04/2025 às 03:45:35,11/04/2025 às 03:54:58,11/04/2025 às 04:19:17
141,10395164501,28/05/2025 às 20:47:00,28/05/2025 às 20:47:17,28/05/2025 às 21:02:26
142,10395164501,31/01/2025 às 02:52:04,31/01/2025 às 02:57:43,31/01/2025 às 03:20:51
143,10402089663,07/06/2025 às 17:56:23,07/06/2025 às 17:56:23,07/06/2025 às 17:58:12
144,10402089663,28/05/2025 às 05:35:30,28/05/2025 às 05:37:50,28/05/2025 às 06:35:47
145,10402089663,07/01/2025 às 13:11:02,07/01/2025 às 13:29:10,07/01/2025 às 13:56:02
146,10402089663,11/04/2025 às 10:01:59,11/04/2025 às 10:07:20,11/04/2025 às 11:05:00
147,10406457080,05/05/2025 às 21:23:27,05/05/2025 às 21:23:27,05/05/2025 às 21:27:54
148,10407896480,04/04/2025 às 06:31:32,04/04/2025 às 06:31:32,04/04/2025 às 06:36:40
149,10408329414,20/01/2025 às 21:33:37,20/01/2025 às 21:33:37,20/01/2025 às 21:37:20
150,10408354807,14/01/2025 às 11:24:55,14/01/2025 às 11:24:55,14/01/2025 às 11:42:58
151,10408354807,01/01/2025 às 15:53:25,01/01/2025 às 16:03:17,01/01/2025 às 16:32:44
152,10408354807,19/01/2025 às 19:37:36,19/01/2025 às 19:51:44,19/01/2025 às 20:38:32
153,10408354807,13/03/2025 às 07:33:04,13/03/2025 às 07:42:39,13/03/2025 às 08:37:39
154,10409247699,07/03/2025 às 22:37:50,07/03/2025 às 22:37:50,07/03/2025 às 22:47:13
155,10414596417,29/03/2025 às 10:20:52,29/03/2025 às 10:20:52,29/03/2025 às 10:21:37
156,10420176849,06/05/2025 às 15:03:43,06/05/2025 às 15:03:43,06/05/2025 às 15:14:22
157,10420176849,15/02/2025 às 15:47:39,15/02/2025 às 15:53:18,15/02/2025 às 16:15:12
158,10421100952,19/02/2025 às 11:56:20,19/02/2025 às 11:56:20,19/02/2025 às 11:59:18
159,10430644106,21/03/2025 às 20:33:32,21/03/2025 às 20:33:32,21/03/2025 às 20:35:04
160,10430644106,04/01/2025 às 01:18:45,04/01/2025 às 01:22:15,04/01/2025 às 01:32:55
161,10434992156,28/02/2025 às 13:58:45,28/02/2025 às 13:58:45,28/02/2025 às 14:00:11
162,10439267064,13/05/2025 às 03:50:21,13/05/2025 às 03:50:21,13/05/2025 às 04:01:00
163,10458003955,19/01/2025 às 03:30:02,19/01/2025 às 03:30:02,19/01/2025 às 03:38:57
164,10460852768,13/02/2025 às 04:27:40,13/02/2025 às 04:27:40,13/02/2025 às 04:37:35
165,10466607903,04/06/2025 às 01:58:18,04/06/2025 às 01:58:18,04/06/2025 às 01:59:22
166,10473638918,29/06/2025 às 10:00:52,29/06/2025 às 10:00:52,29/06/2025 às 10:01:56
167,10481418414,08/06/2025 às 07:15:51,08/06/2025 às 07:15:51,08/06/2025 às 07:31:55
168,10481821533,13/02/2025 às 12:22:48,13/02/2025 às 12:22:48,13/02/2025 às 12:42:42
169,10481821533,03/01/2025 às 17:43:45,03/01/2025 às 17:45:01,03/01/2025 às 18:28:55
170,10481821533,07/05/2025 às 17:57:36,07/05/2025 às 18:14:20,07/05/2025 às 18:34:44
171,10481821533,25/06/2025 às 02:35:34,25/06/2025 às 02:50:26,25/06/2025 às 03:50:30
172,10486658115,01/03/2025 às 02:23:10,01/03/2025 às 02:23:10,01/03/2025 às 02:31:00
173,10487264115,03/01/2025 às 20:49:53,03/01/2025 às 20:49:53,03/01/2025 às 20:50:58
174,10487690190,20/05/2025 às 16:54:54,20/05/2025 às 16:54:54,20/05/2025 às 17:01:02
175,10495759060,19/05/2025 às 02:30:42,19/05/2025 às 02:30:42,19/05/2025 às 02:37:35
176,10496350495,15/05/2025 às 20:49:09,15/05/2025 às 20:49:09,15/05/2025 às 21:07:39
177,10496444644,24/03/2025 às 06:18:00,24/03/2025 às 06:18:00,24/03/2025 às 06:30:23
178,10496444644,02/06/2025 às 13:42:56,02/06/2025 às 13:49:55,02/06/2025 às 14:39:46
179,10496444644,06/01/2025 às 15:42:47,06/01/2025 às 16:02:11,06/01/2025 às 16:23:39
180,10496444644,07/02/2025 às 07:44:23,07/02/2025 às 07:50:24,07/02/2025 às 08:15:04
181,10496444644,07/01/2025 às 05:09:55,07/01/2025 às 05:16:47,07/01/2025 às 06:16:31
182,10496444644,13/03/2025 às 21:24:16,13/03/2025 às 21:36:02,13/03/2025 às 22:49:42
183,10497043247,03/05/2025 às 12:51:09,03/05/2025 às 12:51:09,03/05/2025 às 12:54:54
184,10512806108,08/04/2025 às 03:22:13,08/04/2025 às 03:22:13,08/04/2025 às 03:24:07
185,10516829919,03/04/2025 às 11:37:57,03/04/2025 às 11:37:57,03/04/2025 às 11:38:32
186,10520246398,02/06/2025 às 13:34:44,02/06/2025 às 13:34:44,02/06/2025 às 13:35:39
187,10527487657,11/06/2025 às 06:20:33,11/06/2025 às 06:20:33,11/06/2025 às 06:29:12
188,10556104714,22/02/2025 às 12:35:37,22/02/2025 às 12:35:37,22/02/2025 às 12:37:59
189,10569168931,01/03/2025 às 02:37:53,01/03/2025 às 02:37:53,01/03/2025 às 02:42:02
190,10572563758,18/03/2025 às 19:34:53,18/03/2025 às 19:34:53,18/03/2025 às 19:40:27
191,10572563758,11/05/2025 às 14:15:02,11/05/2025 às 14:23:03,11/05/2025 às 14:43:56
192,10575500753,26/01/2025 às 06:55:51,26/01/2025 às 06:55:51,26/01/2025 às 07:02:49
193,10585423072,13/02/2025 às 02:34:19,13/02/2025 às 02:34:19,13/02/2025 às 02:36:04
194,10585423072,12/04/2025 às 05:58:56,12/04/2025 às 05:59:24,12/04/2025 às 06:28:27
195,10586847468,05/03/2025 às 12:19:41,05/03/2025 às 12:19:41,05/03/2025 às 12:20:55
196,10587893323,01/01/2025 às 20:37:25,01/01/2025 às 20:37:25,01/01/2025 às 20:43:46
197,10598053654,10/05/2025 às 09:25:43,10/05/2025 às 09:25:43,10/05/2025 às 09:41:40
198,10602568204,28/06/2025 às 00:55:22,28/06/2025 às 00:55:22,28/06/2025 às 01:12:17
199,10603255078,11/02/2025 às 07:36:22,11/02/2025 às 07:36:22,11/02/2025 às 07:50:55
200,10619930545,03/02/2025 às 19:19:31,03/02/2025 às 19:19:31,03/02/2025 às 19:25:43
201,10620758466,20/02/2025 às 13:25:10,20/02/2025 às 13:25:10,20/02/2025 às 13:28:38
202,10628866055,26/04/2025 às 04:27:36,26/04/2025 às 04:27:36,26/04/2025 às 04:31:10
203,10631268898,10/02/2025 às 13:57:31,10/02/2025 às 13:57:31,10/02/2025 às 14:08:53
204,10637932960,26/05/2025 às 17:28:30,26/05/2025 às 17:28:30,26/05/2025 às 17:30:58
205,10637932960,25/03/2025 às 09:10:32,25/03/2025 às 09:15:35,25/03/2025 às 09:37:43
206,10672110879,14/01/2025 às 20:42:23,14/01/2025 às 20:42:23,14/01/2025 às 20:49:53
207,10673445840,15/02/2025 às 22:49:21,15/02/2025 às 22:49:21,15/02/2025 às 22:58:28
208,10686455708,05/04/2025 às 23:48:49,05/04/2025 às 23:48:49,05/04/2025 às 23:56:30
209,10688365371,12/01/2025 às 21:33:28,12/01/2025 às 21:33:28,12/01/2025 às 21:41:18
210,10695464918,19/02/2025 às 01:04:27,19/02/2025 às 01:04:27,19/02/2025 às 01:10:31
211,10706736409,25/04/2025 às 23:30:25,25/04/2025 às 23:30:25,25/04/2025 às 23:33:19
212,10720036204,27/06/2025 às 18:04:53,27/06/2025 às 18:04:53,27/06/2025 às 18:12:05
213,10723236967,06/03/2025 às 02:23:34,06/03/2025 às 02:23:34,06/03/2025 às 02:30:40
214,10723236967,14/02/2025 às 22:02:50,14/02/2025 às 22:05:53,14/02/2025 às 22:35:58
215,10723236967,09/02/2025 às 08:52:21,09/02/2025 às 09:02:14,09/02/2025 às 09:36:17
216,10723536025,17/01/2025 às 17:11:56,17/01/2025 às 17:11:56,17/01/2025 às 17:14:51
217,10723536025,21/03/2025 às 09:33:36,21/03/2025 às 09:38:08,21/03/2025 às 09:50:14
218,10723536025,24/05/2025 às 10:03:49,24/05/2025 às 10:09:30,24/05/2025 às 10:36:00
219,10745545723,17/04/2025 às 12:40:20,17/04/2025 às 12:40:20,17/04/2025 às 12:46:54
220,10748457796,11/02/2025 às 07:18:43,11/02/2025 às 07:18:43,11/02/2025 às 07:24:05
221,10749853874,22/06/2025 às 06:02:40,22/06/2025 às 06:02:40,22/06/2025 às 06:03:57
222,10751866768,02/02/2025 às 22:25:47,02/02/2025 às 22:25:47,02/02/2025 às 22:30:45
223,10751866768,13/06/2025 às 19:05:38,13/06/2025 às 19:13:29,13/06/2025 às 19:49:51
224,10751866768,11/06/2025 às 01:27:23,11/06/2025 às 01:29:59,11/06/2025 às 02:09:29
225,10758262891,02/05/2025 às 12:47:10,02/05/2025 às 12:47:10,02/05/2025 às 12:55:42
226,10759242763,06/06/2025 às 13:09:34,06/06/2025 às 13:09:34,06/06/2025 às 13:13:57
227,10769552786,22/01/2025 às 13:25:40,22/01/2025 às 13:25:40,22/01/2025 às 13:28:18
228,10769552786,07/06/2025 às 16:59:34,07/06/2025 às 17:07:09,07/06/2025 às 17:31:18
229,10769552786,04/04/2025 às 13:13:28,04/04/2025 às 13:24:26,04/04/2025 às 14:21:22
230,10769552786,27/04/2025 às 14:27:44,27/04/2025 às 14:45:42,27/04/2025 às 15:33:46
231,10769552786,05/03/2025 às 17:45:14,05/03/2025 às 17:54:58,05/03/2025 às 18:20:22
232,10769552786,09/04/2025 às 21:22:48,09/04/2025 às 21:37:23,09/04/2025 às 22:10:31
233,10771022155,15/02/2025 às 02:22:26,15/02/2025 às 02:22:26,15/02/2025 às 02:26:19
234,10774684069,25/02/2025 às 15:39:43,25/02/2025 às 15:39:43,25/02/2025 às 15:58:55
235,10780801181,19/06/2025 às 05:31:06,19/06/2025 às 05:31:06,19/06/2025 às 05:36:25
236,10785328273,19/05/2025 às 02:41:13,19/05/2025 às 02:41:13,19/05/2025 às 02:55:47
237,10787221643,08/02/2025 às 23:55:55,08/02/2025 às 23:55:55,08/02/2025 às 23:57:51
238,10787221643,25/03/2025 às 09:00:04,25/03/2025 às 09:05:29,25/03/2025 às 09:46:03
239,10787221643,02/06/2025 às 14:27:18,02/06/2025 às 14:40:27,02/06/2025 às 15:03:09
240,10789862181,12/06/2025 às 18:23:12,12/06/2025 às 18:23:12,12/06/2025 às 18:38:37
241,10789862181,14/03/2025 às 22:48:26,14/03/2025 às 22:57:29,14/03/2025 às 23:24:23
242,10797413861,30/01/2025 às 20:15:54,30/01/2025 às 20:15:54,30/01/2025 às 20:24:48
243,10798143757,26/05/2025 às 15:10:33,26/05/2025 às 15:10:33,26/05/2025 às 15:11:39
244,10800981949,15/02/2025 às 23:15:36,15/02/2025 às 23:15:36,15/02/2025 às 23:22:19
245,10800981949,08/06/2025 às 22:58:13,08/06/2025 às 22:59:42,08/06/2025 às 23:19:45
246,10803516620,05/03/2025 às 19:59:50,05/03/2025 às 19:59:50,05/03/2025 às 20:01:46
247,10806592607,03/05/2025 às 17:43:07,03/05/2025 às 17:43:07,03/05/2025 às 17:46:05
248,10811483614,02/01/2025 às 22:40:08,02/01/2025 às 22:40:08,02/01/2025 às 22:48:44
249,10812076478,09/04/2025 às 07:29:55,09/04/2025 às 07:29:55,09/04/2025 às 07:36:07
250,10812076478,26/05/2025 às 05:03:10,26/05/2025 às 05:03:26,26/05/2025 às 05:22:26
251,10813005727,08/01/2025 às 07:29:32,08/01/2025 às 07:29:32,08/01/2025 às 07:32:32
252,10813005727,04/03/2025 às 07:04:16,04/03/2025 às 07:06:48,04/03/2025 às 07:36:43
253,10813005727,16/02/2025 às 20:44:06,16/02/2025 às 20:51:01,16/02/2025 às 21:45:46
254,10813005727,22/05/2025 às 23:22:46,22/05/2025 às 23:40:02,23/05/2025 às 00:22:38
255,10813005727,12/03/2025 às 14:35:35,12/03/2025 às 14:52:16,12/03/2025 às 15:43:58
256,10813005727,12/03/2025 às 02:40:25,12/03/2025 às 02:53:45,12/03/2025 às 03:49:18
257,10813005727,27/06/2025 às 00:05:51,27/06/2025 às 00:14:10,27/06/2025 às 01:07:10
258,10814946928,25/06/2025 às 18:11:03,25/06/2025 às 18:11:03,25/06/2025 às 18:19:21
259,10815322604,05/04/2025 às 14:55:39,05/04/2025 às 14:55:39,05/04/2025 às 15:00:44
260,10815480627,09/01/2025 às 10:17:53,09/01/2025 às 10:17:53,09/01/2025 às 10:27:47
261,10820585083,09/06/2025 às 00:08:59,09/06/2025 às 00:08:59,09/06/2025 às 00:16:54
262,10820838649,21/04/2025 às 03:58:24,21/04/2025 às 03:58:24,21/04/2025 às 04:07:18
263,10830650296,06/05/2025 às 08:43:28,06/05/2025 às 08:43:28,06/05/2025 às 08:45:13
264,10837707666,06/03/2025 às 17:43:20,06/03/2025 às 17:43:20,06/03/2025 às 17:56:17
265,10840516194,10/06/2025 às 12:51:42,10/06/2025 às 12:51:42,10/06/2025 às 13:00:43
266,10841653969,24/03/2025 às 03:17:05,24/03/2025 às 03:17:05,24/03/2025 às 03:25:11
