id_pesquisa,id_chamado,nota_atendimento
6126,5790,2
6127,5791,2
6128,5792,3
6129,5793,2
6130,5794,3
6131,5795,2
6132,5796,3
6175,5928,
6281,5935,3
6282,5936,2
6283,5937,3
6284,5938,2
6285,5939,3
6286,5940,5
6302,6080,
6438,6085,2
6439,6086,4
6440,6087,3
6441,6088,2
6442,6089,4
6443,6090,3
6444,6091,3
6445,6092,3
6446,6093,3
6595,6233,3
6596,6234,3
6597,6235,5
6600,6236,3
6601,6237,3
6602,6238,3
6603,6239,2
6604,6240,3
6605,6241,4
6598,6373,
6752,6380,3
6753,6381,4
6754,6382,3
6755,6383,2
6756,6384,2
6757,6385,2
6758,6386,2
6770,6524,
6910,6529,3
6912,6530,3
6913,6531,5
6914,6532,2
6915,6533,4
6916,6534,2
6917,6535,3
6918,6536,4
6909,6671,
7066,6677,3
7067,6678,3
7068,6679,5
7069,6680,4
7070,6681,3
7072,6682,4
7073,6683,2
7074,6684,2
7113,6819,
7223,6825,2
7224,6826,2
7225,6827,5
7226,6828,3
7227,6829,3
7228,6830,3
7229,6831,5
7231,6832,2
7232,6833,2
7233,6834,2
7230,6963,
7380,6971,2
7381,6972,2
7383,6973,2
7384,6974,4
7385,6975,2
7386,6976,2
7387,6977,4
7382,7114,
7537,7120,2
7539,7121,4
7540,7122,3
7541,7123,3
7542,7124,3
7543,7125,4
7544,7126,4
7694,7270,2
7695,7271,3
7696,7272,2
7697,7273,3
7698,7274,3
7699,7275,2
7852,7421,4
7853,7422,3
7854,7423,3
7855,7424,3
7856,7425,3
8008,7572,4
8010,7573,3
8011,7574,3
8012,7575,2
8013,7576,2
8014,7577,3
8015,7578,4
8017,7579,2
8018,7580,3
8165,7719,4
8166,7720,4
8168,7721,3
8169,7722,3
8170,7723,2
8171,7724,3
8173,7725,3
8174,7726,3
8177,7727,2
8178,7728,4
8179,7729,3
8322,7864,3
8323,7865,4
8324,7866,4
8325,7867,2
8326,7868,2
8327,7869,2
8335,8009,
8479,8014,2
8480,8015,2
8481,8016,2
8482,8017,5
8483,8018,3
8484,8019,3
8486,8020,4
8487,8021,2
8636,8162,3
8637,8163,3
8638,8164,3
8639,8165,3
8640,8166,4
8641,8167,2
8642,8168,3
8643,8169,3
8793,8310,3
8794,8311,3
8795,8312,3
8796,8313,3
8797,8314,3
8798,8315,4
8799,8316,4
8950,8460,3
8951,8461,4
8952,8462,4
8953,8463,2
8954,8464,4
8955,8465,2
8956,8466,3
9107,8609,4
9108,8610,2
9109,8611,2
9111,8612,4
9112,8613,3
9113,8614,4
9114,8615,3
9115,8616,2
9116,8617,3
9118,8618,2
9119,8619,4
9264,8754,3
9266,8755,3
9267,8756,2
9268,8757,3
9269,8758,3
9270,8759,3
9271,8760,5
9272,8761,3
9273,8762,3
9421,8902,5
9422,8903,4
9423,8904,3
9424,8905,4
9426,8906,3
9427,8907,4
9428,8908,2
9458,9046,
9578,9051,2
9579,9052,2
9580,9053,3
9581,9054,2
9582,9055,2
9583,9056,4
9735,9202,4
9736,9203,4
9737,9204,3
9739,9205,4
9740,9206,3
9741,9207,4
9755,9348,
9892,9352,3
9893,9353,3
9894,9354,3
9895,9355,2
9896,9356,2
9897,9357,4
9899,9358,3
9900,9359,3
10049,9501,3
10050,9502,2
10051,9503,3
10052,9504,2
10053,9505,3
10054,9506,3
10055,9507,5
10056,9508,2
10206,9649,3
10207,9650,4
10209,9651,3
10210,9652,4
10211,9653,3
10212,9654,2
10213,9655,3
10214,9656,2
10363,9797,2
10364,9798,4
10365,9799,4
10366,9800,2
10367,9801,4
10368,9802,4
10369,9803,3
10520,9947,3
10521,9948,2
10522,9949,2
10523,9950,3
10524,9951,4
10525,9952,3
10526,9953,3
10527,9954,3
10677,10095,3
10678,10096,2
10679,10097,4
10680,10098,3
10834,10248,3
10835,10249,3
10836,10250,3
10838,10251,3
10839,10252,4
10840,10253,2
10841,10254,2
10991,10397,2
10992,10398,5
10993,10399,3
10994,10400,2
10995,10401,3
10996,10402,2
11034,10542,
11148,10547,4
11149,10548,3
11150,10549,2
11151,10550,3
11152,10551,3
11153,10552,2
11154,10553,2
11158,10691,
11305,10696,4
11307,10697,3
11308,10698,2
11309,10699,2
11310,10700,2
11311,10701,2
11312,10702,2
11313,10703,3
11314,10704,3
11315,10705,2
11306,10834,
11462,10842,4
11463,10843,3
11464,10844,4
11465,10845,3
11466,10846,4
11478,10989,
11619,10993,4
11620,10994,2
11621,10995,2
11623,10996,3
11624,10997,5
11625,10998,4
11626,10999,3
11627,11000,2
11628,11134,
11776,11141,2
11777,11142,4
11778,11143,2
11779,11144,2
11780,11145,4
11781,11146,2
11782,11147,3
11783,11148,4
11784,11149,5
11933,11288,3
11934,11289,3
11935,11290,2
11936,11291,3
11937,11292,3
11965,11435,
12090,11439,3
12091,11440,4
12092,11441,3
12093,11442,3
12094,11443,3
12095,11444,2
12096,11445,3
12097,11446,3
12098,11447,3
12247,11586,3
12248,11587,3
12250,11588,4
12252,11589,3
12253,11590,4
12254,11591,4
12255,11592,4
12256,11593,5
12257,11594,5
12258,11595,3
12259,11596,4
12260,11597,3
12405,11730,3
12406,11731,2
12407,11732,3
12408,11733,3
12409,11734,4
12410,11735,3
12411,11736,4
12412,11737,2
12561,11878,2
12562,11879,3
12565,11880,2
12566,11881,3
12567,11882,4
12569,11883,2
12570,11884,4
12571,11885,2
12718,12026,3
12719,12027,3
12720,12028,3
12722,12029,3
12723,12030,2
12724,12031,3
12725,12032,3
12726,12033,4
12727,12034,3
12728,12035,3
12729,12036,2
12730,12037,4
12875,12170,4
12876,12171,4
12877,12172,4
12878,12173,3
12879,12174,2
12880,12175,2
12906,12316,
13032,12320,3
13033,12321,4
13034,12322,4
13035,12323,4
13036,12324,2
13037,12325,2
13038,12326,2
13039,12327,3
13040,12328,3
13189,12468,3
13190,12469,2
13191,12470,2
13192,12471,4
13193,12472,4
13194,12473,4
13195,12474,3
13196,12475,4
13197,12476,3
13198,12477,2
13346,12614,2
13347,12615,3
13348,12616,3
13349,12617,3
13350,12618,4
13351,12619,4
13352,12620,4
13353,12621,5
13503,12762,4
13504,12763,4
13505,12764,2
13507,12765,3
13508,12766,2
13509,12767,2
13567,12907,
13660,12912,3
13661,12913,4
13662,12914,2
13663,12915,4
13664,12916,3
13665,12917,3
13666,12918,3
13667,12919,4
13817,13060,2
13818,13061,3
13819,13062,2
13820,13063,2
13821,13064,2
13822,13065,3
13823,13066,4
13824,13067,3
13974,13209,4
13976,13210,3
13977,13211,3
13979,13212,2
13980,13213,2
13981,13214,2
13982,13215,5
14131,13359,3
14132,13360,2
14133,13361,2
14135,13362,4
14136,13363,3
14137,13364,3
14138,13365,2
14288,13508,3
14289,13509,3
14290,13510,3
14291,13511,3
14292,13512,4
14293,13513,4
14294,13514,2
14295,13515,2
14296,13516,2
14297,13517,3
14298,13518,2
14299,13519,2
14445,13652,4
14446,13653,4
14447,13654,3
14448,13655,3
14449,13656,2
14450,13657,4
14451,13658,2
14452,13659,2
14602,13801,2
14603,13802,3
14604,13803,4
14605,13804,3
14606,13805,2
14607,13806,2
14759,13952,2
14760,13953,5
14761,13954,4
14762,13955,5
14763,13956,3
14764,13957,3
14765,13958,3
14766,13959,3
14767,13960,3
14768,13961,3
14769,13962,2
14917,14097,4
14918,14098,3
14919,14099,3
14920,14100,2
14921,14101,4
14922,14102,3
14923,14103,3
15073,14246,4
15074,14247,3
15075,14248,3
15076,14249,3
15077,14250,3
15079,14251,2
15080,14252,3
15230,14395,3
15231,14396,5
15232,14397,3
15233,14398,2
15234,14399,3
15235,14400,4
15236,14401,3
15237,14402,3
15238,14403,3
15387,14543,2
15388,14544,2
15389,14545,2
15390,14546,3
15391,14547,3
15392,14548,2
15544,14694,4
15546,14695,2
15547,14696,2
15548,14697,5
15549,14698,4
15550,14699,5
15551,14700,4
15552,14701,3
15553,14702,3
15554,14703,3
15555,14704,2
15556,14705,4
15557,14706,3
15558,14707,2
15559,14708,3
15701,14835,2
15702,14836,2
15703,14837,2
15858,14989,2
15859,14990,3
15860,14991,3
15861,14992,3
15862,14993,4
15863,14994,3
15864,14995,2
15866,14996,4
16015,15137,3
16016,15138,5
16017,15139,3
16018,15140,2
16019,15141,3
16020,15142,3
16021,15143,3
16062,15281,
16172,15286,2
16173,15287,3
16174,15288,3
16175,15289,2
16176,15290,4
16178,15291,2
16329,15437,3
16330,15438,2
16331,15439,2
16332,15440,3
16334,15441,3
16335,15442,3
16336,15443,3
16337,15444,2
16486,15586,5
16487,15587,3
16488,15588,4
16489,15589,3
16490,15590,4
16491,15591,2
16493,15592,2
16495,15593,3
16496,15594,2
16497,15595,2
16498,15596,3
16643,15731,3
16644,15732,5
16645,15733,4
16647,15734,2
16648,15735,3
16649,15736,3
16650,15737,4
16651,15738,3
16652,15739,2
16800,15878,3
16801,15879,4
16802,15880,2
16803,15881,2
16804,15882,2
16805,15883,3
16806,15884,5
16807,15885,3
16808,15886,3
16809,15887,3
16957,16024,4
16958,16025,5
16960,16026,3
16961,16027,3
16962,16028,2
16964,16029,3
16965,16030,2
16966,16031,3
16968,16032,2
16969,16033,3
17114,16170,4
17115,16171,3
17116,16172,3
17117,16173,4
17118,16174,2
17119,16175,4
17120,16176,2
17121,16177,3
17122,16178,2
17123,16179,3
17124,16180,4
17125,16181,4
17126,16182,2
17127,16183,2
17271,16312,3
17272,16313,3
17274,16314,3
17275,16315,3
17277,16316,3
17279,16317,3
17280,16318,2
17281,16319,2
17282,16320,3
17283,16321,2
17428,16459,2
17430,16460,2
17431,16461,3
17432,16462,3
17433,16463,3
17434,16464,3
17435,16465,3
17585,16608,2
17586,16609,4
17587,16610,5
17588,16611,2
17589,16612,3
17590,16613,3
17592,16614,3
17593,16615,3
17742,16756,3
17743,16757,2
17744,16758,2
17745,16759,3
17746,16760,3
17747,16761,4
17781,16901,
17899,16906,2
17900,16907,2
17901,16908,4
17902,16909,5
17903,16910,4
17905,16911,4
17906,16912,3
17907,16913,3
18056,17054,2
18057,17055,4
18058,17056,5
18059,17057,4
18060,17058,3
18063,17059,3
18064,17060,2
18065,17061,4
18066,17062,2
18067,17063,4
18078,17192,
18213,17200,5
18214,17201,3
18215,17202,2
18216,17203,2
18217,17204,4
18218,17205,2
18219,17206,2
18220,17207,4
18221,17208,3
18223,17209,3
18224,17210,3
18225,17211,3
18370,17344,3
18371,17345,3
18372,17346,2
18373,17347,2
18374,17348,3
18527,17495,2
18528,17496,2
18529,17497,3
18530,17498,2
18531,17499,2
18533,17500,3
18534,17501,3
18535,17502,4
18537,17503,3
18538,17504,2
18684,17641,2
18685,17642,3
18686,17643,2
18687,17644,3
18689,17645,3
18690,17646,5
18691,17647,4
18692,17648,4
18693,17649,2
18695,17650,3
18696,17651,3
18698,17652,2
18841,17785,3
18842,17786,2
18843,17787,2
18844,17788,2
18845,17789,3
18846,17790,3
18847,17791,2
18860,17928,
18998,17934,3
18999,17935,3
19000,17936,4
19001,17937,3
19002,17938,3
19003,17939,3
19004,17940,4
19005,17941,3
19006,17942,2
19156,18081,3
19157,18082,4
19158,18083,4
19159,18084,4
19160,18085,4
19161,18086,3
19162,18087,3
19163,18088,3
19164,18089,2
19165,18090,2
19166,18091,2
19312,18227,3
19313,18228,3
19314,18229,2
19315,18230,4
19316,18231,4
19318,18232,3
19319,18233,5
19320,18234,3
19317,18369,
19469,18375,3
19470,18376,2
19471,18377,3
19473,18378,2
19474,18379,3
19475,18380,3
19476,18381,2
19477,18382,2
19478,18383,2
19479,18384,3
19626,18522,3
19627,18523,3
19628,18524,4
19629,18525,4
19630,18526,5
19641,18669,
19783,18673,2
19784,18674,2
19785,18675,2
19786,18676,2
19787,18677,2
19788,18678,4
19789,18679,2
19790,18680,3
19940,18822,3
19941,18823,2
19942,18824,4
19943,18825,2
19944,18826,3
19945,18827,4
20097,18973,3
20098,18974,3
20100,18975,3
20101,18976,3
20102,18977,4
20103,18978,2
20255,19124,3
20256,19125,2
20257,19126,2
20258,19127,2
20259,19128,2
20260,19129,4
20261,19130,3
20262,19131,3
20263,19132,2
20297,19263,
20411,19271,3
20412,19272,2
20413,19273,3
20414,19274,5
20415,19275,4
20416,19276,2
20417,19277,4
20418,19278,3
20419,19279,4
20568,19418,2
20569,19419,3
20570,19420,3
20571,19421,2
20572,19422,4
20573,19423,3
20574,19424,3
20575,19425,3
20725,19566,5
20726,19567,3
20727,19568,4
20728,19569,3
20729,19570,3
20730,19571,2
20742,19711,
20883,19716,4
20884,19717,4
20885,19718,3
20888,19719,4
20889,19720,2
20890,19721,2
20891,19722,3
20892,19723,2
20893,19724,2
21039,19863,2
21040,19864,2
21042,19865,5
21043,19866,5
21044,19867,2
21045,19868,3
21196,20013,2
21197,20014,3
21198,20015,3
21199,20016,3
21200,20017,3
21353,20164,2
21354,20165,2
21355,20166,2
21356,20167,3
21357,20168,2
21358,20169,2
21359,20170,5
21360,20171,3
21361,20172,3
21510,20312,4
21511,20313,3
21512,20314,2
21513,20315,2
21515,20316,3
21516,20317,2
21518,20318,3
21520,20319,5
21522,20320,3
21524,20321,2
21525,20322,4
21667,20458,4
21668,20459,4
21669,20460,3
21670,20461,3
21671,20462,2
21672,20463,3
21673,20464,3
21824,20608,3
21825,20609,4
21826,20610,3
21827,20611,4
21828,20612,3
21829,20613,4
21830,20614,2
21831,20615,2
21832,20616,2
21981,20755,2
21982,20756,2
21984,20757,3
21985,20758,3
21986,20759,3
21987,20760,2
21988,20761,3
22138,20905,3
22139,20906,5
22140,20907,5
22141,20908,2
22142,20909,3
22143,20910,2
22144,20911,4
22145,20912,2
22146,20913,3
22148,20914,4
22295,21052,3
22296,21053,3
22297,21054,4
22298,21055,2
22300,21056,2
22301,21057,2
22302,21058,3
22303,21059,2
22304,21060,2
22305,21061,2
22323,21190,
22452,21198,3
22453,21199,3
22454,21200,3
22457,21201,3
22458,21202,3
22459,21203,4
22460,21204,3
22462,21205,3
22464,21206,2
22465,21207,2
22466,21208,4
22609,21343,2
22610,21344,3
22611,21345,3
22612,21346,3
22613,21347,3
22620,21490,
22766,21494,3
22767,21495,5
22768,21496,2
22769,21497,3
22770,21498,3
22923,21645,2
22924,21646,3
22925,21647,4
22926,21648,5
22927,21649,2
22928,21650,3
22929,21651,2
22951,21788,
23080,21794,4
23081,21795,4
23082,21796,3
23083,21797,3
23084,21798,3
23085,21799,4
23086,21800,3
23087,21801,3
23088,21802,2
23089,21803,4
23237,21940,5
23238,21941,3
23241,21942,2
23242,21943,2
23243,21944,2
23244,21945,2
23245,21946,2
23394,22089,3
23395,22090,2
23396,22091,4
23397,22092,5
23398,22093,2
23399,22094,2
23400,22095,5
23401,22096,2
23402,22097,2
23403,22098,4
23404,22099,4
23551,22234,2
23552,22235,3
23553,22236,3
23554,22237,3
23555,22238,3
23556,22239,3
23557,22240,2
23558,22241,2
23559,22242,3
23560,22243,3
23561,22244,4
23563,22245,3
23564,22246,2
23708,22377,5
23709,22378,2
23710,22379,2
23711,22380,3
23712,22381,3
23713,22382,3
23752,22522,
23865,22527,4
23866,22528,2
23867,22529,3
23869,22530,2
23871,22531,5
23873,22532,4
23874,22533,2
23875,22534,2
23877,22535,2
23878,22536,2
23880,22537,5
23882,22538,3
24023,22671,2
24024,22672,3
24025,22673,2
24026,22674,2
24027,22675,3
24028,22676,2
24029,22677,2
24030,22678,4
24179,22820,2
24180,22821,2
24181,22822,2
24182,22823,3
24183,22824,4
24184,22825,3
24185,22826,2
24187,22827,3
24189,22828,3
24336,22967,3
24338,22968,2
24339,22969,4
24340,22970,4
24341,22971,3
24358,23114,
24493,23118,3
24494,23119,2
24495,23120,2
24496,23121,3
24498,23122,4
24499,23123,3
24524,23264,
24651,23268,3
24652,23269,2
24653,23270,2
24654,23271,2
24655,23272,3
24656,23273,3
24658,23274,4
24807,23417,3
24808,23418,3
24809,23419,4
24810,23420,4
24812,23421,4
24813,23422,3
24814,23423,4
24815,23424,3
24816,23425,4
24817,23426,3
24964,23563,3
24965,23564,3
24966,23565,2
24967,23566,3
24968,23567,3
24969,23568,4
24970,23569,2
24986,23707,
25121,23712,2
25122,23713,5
25123,23714,3
25124,23715,3
25125,23716,3
25126,23717,3
25127,23718,4
25128,23719,4
25130,23720,3
25129,23851,
25278,23859,3
25279,23860,3
25281,23861,4
25282,23862,4
25283,23863,3
25286,23864,4
25287,23865,3
25288,23866,3
25289,23867,5
25290,23868,5
25291,23869,2
25292,23870,3
25293,23871,3
25435,24002,4
25436,24003,3
25438,24004,3
25439,24005,4
25440,24006,3
25441,24007,4
25454,24147,
25592,24152,3
25593,24153,2
25594,24154,4
25595,24155,5
25596,24156,5
25597,24157,3
25598,24158,3
25599,24159,2
25749,24300,4
25750,24301,4
25751,24302,3
25753,24303,2
25754,24304,3
25755,24305,3
25757,24306,5
25758,24307,3
25906,24448,4
25907,24449,5
25908,24450,5
25910,24451,2
25911,24452,3
25912,24453,2
25913,24454,3
25914,24455,4
26063,24597,4
26064,24598,3
26065,24599,3
26066,24600,4
26067,24601,3
26068,24602,2
26104,24742,
26220,24747,3
26221,24748,3
26222,24749,3
26223,24750,4
26225,24751,4
26226,24752,5
26377,24897,4
26378,24898,3
26379,24899,2
26380,24900,3
26381,24901,3
26382,24902,2
26534,25048,3
26536,25049,5
26537,25050,4
26538,25051,4
26539,25052,4
26540,25053,3
26541,25054,3
26542,25055,3
26543,25056,3
26691,25195,4
26692,25196,3
26693,25197,3
26694,25198,2
26695,25199,3
26696,25200,2
26697,25201,4
26848,25344,3
26849,25345,2
26850,25346,3
26851,25347,4
26852,25348,2
26854,25349,2
26855,25350,4
26870,25487,
27005,25493,4
27006,25494,3
27007,25495,3
27008,25496,2
27009,25497,3
27010,25498,3
27011,25499,4
27035,25637,
27163,25642,3
27164,25643,3
27165,25644,2
27166,25645,4
27167,25646,4
27168,25647,2
27169,25648,5
27170,25649,5
27319,25791,2
27320,25792,3
27321,25793,2
27322,25794,3
27324,25795,2
27325,25796,3
27476,25941,4
27477,25942,3
27478,25943,3
27479,25944,3
27480,25945,2
27481,25946,5
27483,25947,5
27484,25948,3
27485,25949,3
27633,26088,3
27634,26089,2
27637,26090,4
27638,26091,3
27640,26092,3
27641,26093,2
27642,26094,2
27643,26095,4
27645,26096,2
27646,26097,4
27635,26225,
27790,26234,2
27791,26235,3
27793,26236,3
27794,26237,4
27795,26238,4
27796,26239,3
27797,26240,2
27792,26378,
27948,26383,4
27950,26384,5
27951,26385,2
27952,26386,2
27953,26387,2
27954,26388,3
27955,26389,4
27956,26390,3
27947,26525,
28104,26531,4
28105,26532,3
28106,26533,3
28107,26534,4
28108,26535,3
28109,26536,2
28110,26537,2
28112,26538,4
28263,26679,3
28264,26680,4
28265,26681,4
28266,26682,2
28267,26683,3
28268,26684,3
28269,26685,3
28262,26822,
28418,26828,3
28419,26829,4
28420,26830,4
28421,26831,2
28422,26832,4
28423,26833,2
28484,26974,
28575,26978,2
28577,26979,3
28578,26980,3
28579,26981,3
28581,26982,4
28582,26983,5
28583,26984,3
28584,26985,4
28576,27120,
28732,27126,2
28733,27127,2
28734,27128,5
28735,27129,3
28736,27130,2
28737,27131,3
28738,27132,4
28739,27133,2
28759,27268,
28889,27274,3
28890,27275,4
28891,27276,4
28892,27277,5
28894,27278,3
28895,27279,4
28896,27280,3
28898,27281,3
29046,27422,2
29047,27423,2
29048,27424,2
29049,27425,2
29050,27426,5
29051,27427,3
29203,27573,3
29204,27574,2
29205,27575,3
29206,27576,3
29207,27577,3
29210,27578,3
29211,27579,2
29212,27580,2
29213,27581,2
29215,27582,4
29208,27710,
29360,27719,3
29361,27720,2
29362,27721,2
29363,27722,4
29364,27723,4
29365,27724,4
29366,27725,5
29367,27726,2
29368,27727,3
29517,27867,2
29518,27868,3
29519,27869,3
29520,27870,3
29521,27871,2
29522,27872,3
29523,27873,5
29524,27874,3
29528,28009,
29675,28015,2
29676,28016,2
29677,28017,4
29678,28018,3
29679,28019,3
29680,28020,3
29681,28021,4
29683,28022,3
29674,28156,
29833,28163,5
29834,28164,2
29836,28165,3
29837,28166,4
29838,28167,3
29839,28168,2
29840,28169,2
29841,28170,2
29842,28171,4
29843,28172,2
29844,28173,2
29845,28174,4
29990,28308,2
29991,28309,2
29993,28310,2
12,10,3
13,11,5
14,12,3
15,13,3
16,14,2
17,15,2
18,16,4
19,17,3
20,18,3
21,19,2
22,20,2
23,21,2
24,22,3
25,23,2
26,24,3
27,25,2
28,26,3
29,27,4
30,28,2
32,29,2
33,30,4
34,31,3
35,32,3
37,33,4
38,34,2
39,35,3
40,36,3
41,37,2
42,38,3
43,39,2
44,40,5
45,41,3
46,42,3
47,43,3
48,44,2
49,45,3
50,46,2
51,47,3
52,48,3
53,49,2
54,50,5
56,51,3
57,52,4
58,53,3
59,54,3
60,55,2
61,56,4
62,57,2
63,58,4
64,59,3
65,60,3
66,61,2
67,62,2
68,63,4
69,64,4
70,65,5
71,66,4
72,67,2
73,68,3
74,69,3
75,70,4
76,71,3
78,72,2
79,73,3
80,74,3
81,75,2
82,76,3
83,77,2
84,78,3
85,79,3
86,80,3
87,81,2
88,82,4
89,83,3
90,84,3
91,85,3
92,86,3
93,87,3
94,88,2
95,89,4
96,90,2
97,91,3
98,92,3
99,93,3
100,94,3
101,95,3
102,96,3
103,97,2
104,98,4
105,99,5
106,100,4
107,101,4
108,102,2
109,103,3
110,104,3
112,105,2
113,106,3
115,107,4
116,108,4
118,109,5
120,110,2
121,111,4
122,112,3
123,113,2
124,114,2
125,115,2
126,116,3
127,117,2
128,118,3
129,119,2
131,120,3
132,121,2
133,122,3
134,123,2
135,124,4
136,125,2
137,126,2
138,127,4
139,128,3
140,129,2
142,130,3
143,131,3
144,132,4
145,133,3
146,134,3
147,135,2
149,136,4
150,137,3
151,138,2
152,139,4
153,140,4
154,141,4
155,142,3
156,143,5
157,144,3
11,145,
119,146,
130,147,
167,155,4
168,156,3
169,157,2
170,158,3
172,159,3
173,160,4
174,161,3
175,162,3
176,163,4
177,164,3
178,165,3
179,166,4
180,167,3
181,168,2
182,169,3
183,170,3
184,171,2
185,172,3
186,173,2
187,174,3
188,175,2
189,176,3
190,177,2
191,178,5
193,179,3
194,180,3
195,181,3
196,182,2
197,183,3
198,184,2
200,185,4
202,186,3
203,187,3
205,188,4
206,189,4
207,190,3
208,191,3
209,192,2
210,193,3
211,194,2
212,195,3
213,196,4
214,197,2
215,198,2
216,199,3
217,200,3
218,201,3
219,202,2
220,203,3
221,204,3
222,205,3
223,206,2
224,207,4
225,208,3
226,209,4
227,210,3
228,211,5
229,212,3
230,213,3
231,214,3
232,215,4
233,216,2
234,217,2
235,218,2
236,219,3
237,220,3
238,221,3
239,222,3
240,223,4
241,224,3
242,225,3
243,226,2
245,227,3
246,228,3
247,229,5
248,230,4
250,231,3
251,232,2
252,233,3
253,234,3
254,235,3
255,236,4
256,237,4
258,238,4
259,239,2
